         Original Sample Discarded Units Trimmed Sample
mort       57.41 (21.94)   59.59 (25.03)   54.11 (15.6)
dementia     16.5 (7.12)    17.12 (7.91)   15.56 (5.59)
cvd         73.73 (27.7)   76.48 (31.82)  69.56 (19.17)
pmWith      10.57 (2.65)    11.22 (2.72)     9.6 (2.21)
ozWith      46.87 (6.14)     48.3 (6.27)   44.69 (5.23)
pmNo        14.14 (3.36)    15.33 (3.39)   12.34 (2.38)
ozNo        54.23 (7.56)    56.63 (7.65)    50.6 (5.75)
X1           1.62 (0.57)     1.67 (0.61)     1.56 (0.5)
X2            0.3 (0.87)     0.32 (0.92)    0.28 (0.78)
X3          -1.23 (1.03)    -1.27 (1.09)   -1.17 (0.93)
X4            3.2 (1.14)      3.25 (1.2)    3.14 (1.03)
X5          -2.12 (1.04)     -2.15 (1.1)   -2.07 (0.94)
